day,base_raw,base_snappy,base_zstd,pl_total,pl_golden,pl_kdelta,pl_residual,pl_fallback,pl_snapshot,fallback_windows
0,13906715400,2596961880,1400916240,217092042,84323201,12946801,119822040,0,0,0
1,13899099600,2610303480,1408919040,217028407,84241622,12948712,119838073,0,20910,0
2,13893363000,2613139560,1411773480,216864138,84097761,12943977,119822400,0,0,0
3,13886089200,2611943640,1411018560,216864165,84092124,12949641,119822400,0,0,0
4,13896934200,2612148120,1410014160,216874338,84115785,12947940,119722656,87957,34372,48
5,13899983400,2611800000,1411623720,216986606,84215832,12948374,119822400,0,0,0
