day,base_raw,base_snappy,base_zstd,pl_total,pl_golden,pl_kdelta,pl_residual,pl_fallback,pl_snapshot,fallback_windows
0,13875973200,2594632320,1400557320,216792786,84024604,12946142,119822040,0,0,0
1,13880694600,2611018440,1408391640,216927664,84138290,12951013,119838361,0,21248,0
2,13873941000,2611598400,1410859440,216746682,83974034,12948680,119823968,0,2096,0
3,13897206000,2612292840,1410663960,216938922,84170927,12945595,119822400,0,0,0
4,13902429600,2613223440,1412631720,217026242,84260840,12954559,119722656,88187,34455,48
5,13889435400,2611879560,1411246800,216907781,84140453,12944928,119822400,0,0,0
