kappa,c_gate,quiet_solves,support_nonempty,events,events_per_day,mean_support,mean_ratio
0.4,1,2868,2868,1631,3262.0000,28.482,0.9955
0.4,1.05,2868,2868,2831,5662.0000,28.482,0.9955
0.4,1.1,2868,2868,2868,5736.0000,28.482,0.9955
0.4,1.15,2868,2868,2868,5736.0000,28.482,0.9955
0.4,1.2,2868,2868,2868,5736.0000,28.482,0.9955
0.4,1.3,2868,2868,2868,5736.0000,28.482,0.9955
0.4,1.5,2868,2868,2868,5736.0000,28.482,0.9955
0.5,1,2868,2868,68,136.0000,16.305,1.0514
0.5,1.05,2868,2868,1385,2770.0000,16.305,1.0514
0.5,1.1,2868,2868,2776,5552.0000,16.305,1.0514
0.5,1.15,2868,2868,2867,5734.0000,16.305,1.0514
0.5,1.2,2868,2868,2868,5736.0000,16.305,1.0514
0.5,1.3,2868,2868,2868,5736.0000,16.305,1.0514
0.5,1.5,2868,2868,2868,5736.0000,16.305,1.0514
0.6,1,2868,2868,1,2.0000,8.894,1.0925
0.6,1.05,2868,2868,211,422.0000,8.894,1.0925
0.6,1.1,2868,2868,1714,3428.0000,8.894,1.0925
0.6,1.15,2868,2868,2811,5622.0000,8.894,1.0925
0.6,1.2,2868,2868,2868,5736.0000,8.894,1.0925
0.6,1.3,2868,2868,2868,5736.0000,8.894,1.0925
0.6,1.5,2868,2868,2868,5736.0000,8.894,1.0925
0.7,1,2868,2835,0,0.0000,4.594,1.1209
0.7,1.05,2868,2835,22,44.0000,4.594,1.1209
0.7,1.1,2868,2835,709,1418.0000,4.594,1.1209
0.7,1.15,2868,2835,2392,4784.0000,4.594,1.1209
0.7,1.2,2868,2835,2820,5640.0000,4.594,1.1209
0.7,1.3,2868,2835,2835,5670.0000,4.594,1.1209
0.7,1.5,2868,2835,2835,5670.0000,4.594,1.1209
0.8,1,2868,2523,0,0.0000,2.217,1.1395
0.8,1.05,2868,2523,5,10.0000,2.217,1.1395
0.8,1.1,2868,2523,258,516.0000,2.217,1.1395
0.8,1.15,2868,2523,1579,3158.0000,2.217,1.1395
0.8,1.2,2868,2523,2456,4912.0000,2.217,1.1395
0.8,1.3,2868,2523,2523,5046.0000,2.217,1.1395
0.8,1.5,2868,2523,2523,5046.0000,2.217,1.1395
1,1,2868,1001,0,0.0000,0.439,1.1566
1,1.05,2868,1001,0,0.0000,0.439,1.1566
1,1.1,2868,1001,54,108.0000,0.439,1.1566
1,1.15,2868,1001,454,908.0000,0.439,1.1566
1,1.2,2868,1001,892,1784.0000,0.439,1.1566
1,1.3,2868,1001,1001,2002.0000,0.439,1.1566
1,1.5,2868,1001,1001,2002.0000,0.439,1.1566
1.2,1,2868,164,0,0.0000,0.059,1.1614
1.2,1.05,2868,164,0,0.0000,0.059,1.1614
1.2,1.1,2868,164,8,16.0000,0.059,1.1614
1.2,1.15,2868,164,75,150.0000,0.059,1.1614
1.2,1.2,2868,164,135,270.0000,0.059,1.1614
1.2,1.3,2868,164,164,328.0000,0.059,1.1614
1.2,1.5,2868,164,164,328.0000,0.059,1.1614
1.4,1,2868,12,0,0.0000,0.004,1.1623
1.4,1.05,2868,12,0,0.0000,0.004,1.1623
1.4,1.1,2868,12,1,2.0000,0.004,1.1623
1.4,1.15,2868,12,5,10.0000,0.004,1.1623
1.4,1.2,2868,12,10,20.0000,0.004,1.1623
1.4,1.3,2868,12,12,24.0000,0.004,1.1623
1.4,1.5,2868,12,12,24.0000,0.004,1.1623
1.7,1,2868,1,0,0.0000,0.000,1.1624
1.7,1.05,2868,1,0,0.0000,0.000,1.1624
1.7,1.1,2868,1,0,0.0000,0.000,1.1624
1.7,1.15,2868,1,0,0.0000,0.000,1.1624
1.7,1.2,2868,1,1,2.0000,0.000,1.1624
1.7,1.3,2868,1,1,2.0000,0.000,1.1624
1.7,1.5,2868,1,1,2.0000,0.000,1.1624
2,1,2868,0,0,0.0000,0.000,1.1624
2,1.05,2868,0,0,0.0000,0.000,1.1624
2,1.1,2868,0,0,0.0000,0.000,1.1624
2,1.15,2868,0,0,0.0000,0.000,1.1624
2,1.2,2868,0,0,0.0000,0.000,1.1624
2,1.3,2868,0,0,0.0000,0.000,1.1624
2,1.5,2868,0,0,0.0000,0.000,1.1624
