noise,magnitude,trials,storm_rate,fallback_topk_rate,support_rate,gated_rate,recovery_rate,detection_rate,mean_value_error,mean_solve_residual,mean_spurious_support,storm_headroom
0,0.1,15,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000,,0.1000,0.00,
0,0.2,15,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000,,0.2000,0.00,
0,0.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,0.8,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,1.6,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,3.2,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,6.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,12.8,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,25.6,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,51.2,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0001,0.0001,0.00,
0,102.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0001,0.0001,0.00,
0.05,0.1,15,0.0000,0.6667,0.0000,1.0000,0.0000,0.0000,,1.4935,0.00,0.0394
0.05,0.2,15,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,,1.5089,0.00,0.0407
0.05,0.4,15,0.0000,1.0000,0.3333,1.0000,0.0000,0.0000,0.0231,1.5316,0.00,0.0429
0.05,0.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0301,1.5119,0.00,0.0517
0.05,1.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0310,1.5188,0.00,0.0859
0.05,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0287,1.4932,0.00,0.2236
0.05,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0258,1.5150,0.00,0.7651
0.05,12.8,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0252,1.5707,0.00,2.9561
0.05,25.6,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0437,1.6554,0.00,11.6714
0.05,51.2,15,1.0000,1.0000,1.0000,0.0667,0.9333,1.0000,0.0696,1.1768,0.00,46.6262
0.05,102.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.1019,0.1495,0.00,185.3324
0.1,0.1,15,0.0000,0.2000,0.0000,1.0000,0.0000,0.0000,,2.9864,0.00,0.0396
0.1,0.2,15,0.0000,0.8000,0.0000,1.0000,0.0000,0.0000,,3.0009,0.00,0.0402
0.1,0.4,15,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,,3.0285,0.00,0.0407
0.1,0.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0542,3.0255,0.00,0.0437
0.1,1.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0604,3.0121,0.00,0.0519
0.1,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0567,2.9783,0.00,0.0860
0.1,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0554,3.0058,0.00,0.2235
0.1,12.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0553,3.0387,0.07,0.7692
0.1,25.6,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0572,3.1962,0.00,2.9474
0.1,51.2,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0605,3.2891,0.00,11.7266
0.1,102.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.1165,2.2643,0.33,46.7376
0.2,0.1,15,0.0000,0.1333,0.0000,1.0000,0.0000,0.0000,,5.8741,0.87,0.0388
0.2,0.2,15,0.0000,0.2667,0.0000,1.0000,0.0000,0.0000,,5.9746,1.13,0.0405
0.2,0.4,15,0.0000,0.5333,0.0000,1.0000,0.0000,0.0000,,5.8856,1.13,0.0394
0.2,0.8,15,0.0000,1.0000,0.4000,1.0000,0.0000,0.0000,0.0984,5.8664,1.00,0.0395
0.2,1.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1191,5.9213,1.33,0.0428
0.2,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0706,5.9358,1.67,0.0524
0.2,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1273,5.9551,1.53,0.0860
0.2,12.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1345,5.9514,1.27,0.2192
0.2,25.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1051,6.1323,1.00,0.7642
0.2,51.2,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0949,6.3170,1.40,2.9485
0.2,102.4,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1243,6.4494,4.27,11.6637
0.4,0.1,15,0.0000,0.2000,0.0000,1.0000,0.0000,0.0000,,11.3298,8.93,0.0400
0.4,0.2,15,0.0000,0.0667,0.0667,1.0000,0.0000,0.0000,0.3160,11.2068,11.07,0.0403
0.4,0.4,15,0.0000,0.3333,0.2000,1.0000,0.0000,0.0000,0.2461,11.1449,10.07,0.0400
0.4,0.8,15,0.0000,0.6000,0.2000,1.0000,0.0000,0.0000,0.4734,11.1497,10.00,0.0398
0.4,1.6,15,0.0000,1.0000,0.7333,1.0000,0.0000,0.0000,0.1660,11.3241,9.73,0.0414
0.4,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.2355,11.3155,9.60,0.0433
0.4,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1832,11.2400,10.07,0.0523
0.4,12.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.2887,11.2517,8.80,0.0838
0.4,25.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.2018,11.2670,9.73,0.2210
0.4,51.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.2969,11.4786,9.93,0.7668
0.4,102.4,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1901,11.7454,13.47,2.9366
0.8,0.1,15,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,,21.2518,22.40,0.0400
0.8,0.2,15,0.0000,0.1333,0.0667,0.8667,0.0000,0.0000,0.6832,21.1178,23.40,0.0404
0.8,0.4,15,0.0000,0.1333,0.0000,0.8667,0.0000,0.0000,,21.3267,21.67,0.0400
0.8,0.8,15,0.0000,0.3333,0.2000,0.8667,0.0000,0.0000,0.2345,21.0737,23.53,0.0404
0.8,1.6,15,0.0000,0.4667,0.2000,0.9333,0.0000,0.0000,0.4136,21.1080,23.93,0.0407
0.8,3.2,15,0.0000,1.0000,0.7333,0.7333,0.2000,0.2000,0.4199,21.1276,22.87,0.0407
0.8,6.4,15,0.0000,1.0000,1.0000,0.8000,0.2000,0.2000,0.4340,21.0846,21.53,0.0421
0.8,12.8,15,0.0000,1.0000,1.0000,0.8000,0.2000,0.2000,0.4420,20.9542,22.13,0.0512
0.8,25.6,15,0.0000,1.0000,1.0000,0.6667,0.3333,0.3333,0.5786,21.1063,23.20,0.0842
0.8,51.2,15,0.0000,1.0000,1.0000,0.8667,0.1333,0.1333,0.4456,21.3227,22.60,0.2171
0.8,102.4,15,0.0000,1.0000,1.0000,0.9333,0.0667,0.0667,0.3353,21.3489,21.67,0.7724
1.6,0.1,15,0.0000,0.0667,0.0000,0.2667,0.0000,0.0000,,40.3603,34.73,0.0403
1.6,0.2,15,0.0000,0.0667,0.0667,0.0667,0.0667,0.0667,1.9263,39.8938,36.67,0.0401
1.6,0.4,15,0.0000,0.1333,0.1333,0.0000,0.1333,0.1333,0.9125,40.4141,34.27,0.0402
1.6,0.8,15,0.0000,0.0000,0.0000,0.1333,0.0000,0.0000,,40.4406,33.67,0.0400
1.6,1.6,15,0.0000,0.2000,0.2000,0.1333,0.2000,0.2000,0.2965,40.6302,32.40,0.0404
1.6,3.2,15,0.0000,0.7333,0.2667,0.0667,0.2667,0.2667,0.5855,39.9252,33.13,0.0397
1.6,6.4,15,0.0000,1.0000,1.0000,0.0667,0.9333,0.9333,0.8702,40.4406,34.67,0.0410
1.6,12.8,15,0.0000,1.0000,1.0000,0.1333,0.8667,0.8667,0.5669,40.3614,32.80,0.0427
1.6,25.6,15,0.0000,1.0000,1.0000,0.2000,0.8000,0.8000,0.9484,40.2801,34.60,0.0511
1.6,51.2,15,0.0000,1.0000,1.0000,0.2000,0.8000,0.8000,0.7656,40.5498,31.80,0.0864
1.6,102.4,15,0.0000,1.0000,1.0000,0.1333,0.8667,0.8667,0.7200,40.6761,33.73,0.2203
3.2,0.1,15,0.0000,0.4000,0.1333,0.0000,0.1333,0.1333,0.5098,78.1893,41.13,0.0399
3.2,0.2,15,0.0000,0.1333,0.0667,0.0667,0.0667,0.0667,4.2271,78.7921,41.73,0.0406
3.2,0.4,15,0.0000,0.0667,0.0667,0.0000,0.0667,0.0667,1.0876,77.9101,41.07,0.0397
3.2,0.8,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,78.8650,39.53,0.0397
3.2,1.6,15,0.0000,0.3333,0.2000,0.0000,0.2000,0.2000,0.4063,78.6603,37.80,0.0392
3.2,3.2,15,0.0000,0.5333,0.2000,0.0000,0.2000,0.2000,1.3171,79.1534,41.27,0.0407
3.2,6.4,15,0.0000,0.7333,0.3333,0.1333,0.2667,0.2667,1.4171,78.8357,45.13,0.0417
3.2,12.8,15,0.0000,1.0000,0.9333,0.0000,0.9333,0.9333,2.1351,78.7745,43.80,0.0418
3.2,25.6,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.8306,78.7827,43.60,0.0438
3.2,51.2,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,2.2443,78.8008,41.53,0.0511
3.2,102.4,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,2.1180,78.7868,40.00,0.0851
