noise,magnitude,trials,storm_rate,fallback_topk_rate,support_rate,gated_rate,recovery_rate,detection_rate,mean_value_error,mean_solve_residual,mean_spurious_support,storm_headroom
0,0.1,15,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000,,0.1000,0.00,
0,0.2,15,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000,,0.2000,0.00,
0,0.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,0.8,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,1.6,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,3.2,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,6.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,12.8,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,25.6,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.00,
0,51.2,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0001,0.0001,0.00,
0,102.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0001,0.0001,0.00,
0.05,0.1,15,0.0000,0.7333,0.0000,1.0000,0.0000,0.0000,,1.4997,0.00,0.0400
0.05,0.2,15,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,,1.5202,0.00,0.0411
0.05,0.4,15,0.0000,1.0000,0.5333,1.0000,0.0000,0.0000,0.0413,1.5310,0.00,0.0439
0.05,0.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0222,1.4822,0.00,0.0506
0.05,1.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0246,1.5009,0.00,0.0867
0.05,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0364,1.4973,0.00,0.2201
0.05,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0357,1.5139,0.00,0.7696
0.05,12.8,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0309,1.6020,0.00,2.9712
0.05,25.6,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0408,1.6651,0.00,11.7263
0.05,51.2,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0521,1.1170,0.00,46.5687
0.05,102.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.1164,0.0971,0.00,185.5698
0.1,0.1,15,0.0000,0.2667,0.0000,1.0000,0.0000,0.0000,,3.0496,0.00,0.0415
0.1,0.2,15,0.0000,0.7333,0.0000,1.0000,0.0000,0.0000,,2.9849,0.00,0.0395
0.1,0.4,15,0.0000,1.0000,0.3333,1.0000,0.0000,0.0000,0.0423,3.0024,0.00,0.0406
0.1,0.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0598,2.9492,0.00,0.0417
0.1,1.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0512,2.9857,0.00,0.0509
0.1,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0306,2.9944,0.00,0.0844
0.1,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0680,3.0295,0.00,0.2221
0.1,12.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0753,3.0590,0.00,0.7663
0.1,25.6,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0590,3.1399,0.00,2.9428
0.1,51.2,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0622,3.3422,0.07,11.7089
0.1,102.4,15,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.1342,2.2394,0.33,46.6627
0.2,0.1,15,0.0000,0.0667,0.0000,1.0000,0.0000,0.0000,,5.8567,1.13,0.0390
0.2,0.2,15,0.0000,0.3333,0.0000,1.0000,0.0000,0.0000,,5.8686,1.47,0.0395
0.2,0.4,15,0.0000,0.6667,0.2000,1.0000,0.0000,0.0000,0.1497,5.9577,1.00,0.0403
0.2,0.8,15,0.0000,1.0000,0.4000,1.0000,0.0000,0.0000,0.1238,5.9473,1.53,0.0408
0.2,1.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1202,5.8465,1.07,0.0418
0.2,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1412,5.9780,1.47,0.0528
0.2,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1403,6.0100,0.60,0.0870
0.2,12.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1415,5.9865,1.00,0.2176
0.2,25.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0994,6.0371,1.13,0.7623
0.2,51.2,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1430,6.2902,1.93,2.9521
0.2,102.4,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1093,6.5096,4.00,11.6915
0.4,0.1,15,0.0000,0.0667,0.0000,1.0000,0.0000,0.0000,,11.2653,8.33,0.0397
0.4,0.2,15,0.0000,0.1333,0.0000,1.0000,0.0000,0.0000,,11.2007,8.20,0.0393
0.4,0.4,15,0.0000,0.2667,0.0000,1.0000,0.0000,0.0000,,11.2574,9.47,0.0402
0.4,0.8,15,0.0000,0.8000,0.0667,1.0000,0.0000,0.0000,0.4904,11.3227,9.33,0.0404
0.4,1.6,15,0.0000,1.0000,0.5333,1.0000,0.0000,0.0000,0.2302,11.1851,10.33,0.0404
0.4,3.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.2562,11.2479,8.93,0.0424
0.4,6.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.2908,11.2462,9.60,0.0522
0.4,12.8,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3113,11.2715,10.13,0.0866
0.4,25.6,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.2959,11.1192,10.33,0.2222
0.4,51.2,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.1862,11.2672,9.13,0.7740
0.4,102.4,15,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2401,11.8630,11.80,2.9462
0.8,0.1,15,0.0000,0.1333,0.0000,0.9333,0.0000,0.0000,,21.1250,22.13,0.0398
0.8,0.2,15,0.0000,0.2667,0.0667,0.8667,0.0000,0.0000,0.4733,21.1159,22.53,0.0398
0.8,0.4,15,0.0000,0.2667,0.0667,0.8667,0.0000,0.0000,1.3379,21.1666,24.87,0.0415
0.8,0.8,15,0.0000,0.5333,0.2000,0.9333,0.0000,0.0000,0.6638,21.1098,22.80,0.0404
0.8,1.6,15,0.0000,0.4667,0.3333,0.8000,0.1333,0.1333,0.6587,20.9705,21.67,0.0392
0.8,3.2,15,0.0000,1.0000,1.0000,0.9333,0.0667,0.0667,0.4506,21.1537,22.07,0.0405
0.8,6.4,15,0.0000,1.0000,1.0000,0.6667,0.3333,0.3333,0.5492,21.0606,21.80,0.0425
0.8,12.8,15,0.0000,1.0000,1.0000,0.9333,0.0667,0.0667,0.4299,21.0655,22.27,0.0506
0.8,25.6,15,0.0000,1.0000,1.0000,0.8000,0.2000,0.2000,0.5067,21.1285,23.60,0.0870
0.8,51.2,15,0.0000,1.0000,1.0000,0.6667,0.3333,0.3333,0.4883,21.2008,22.00,0.2190
0.8,102.4,15,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.4377,21.5578,23.80,0.7714
1.6,0.1,15,0.0000,0.2000,0.0667,0.1333,0.0667,0.0667,1.1732,40.0699,35.73,0.0404
1.6,0.2,15,0.0000,0.0000,0.0000,0.1333,0.0000,0.0000,,40.2988,31.07,0.0394
1.6,0.4,15,0.0000,0.0000,0.0000,0.1333,0.0000,0.0000,,40.4809,33.07,0.0395
1.6,0.8,15,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,,40.3863,35.60,0.0405
1.6,1.6,15,0.0000,0.4667,0.3333,0.2000,0.3333,0.3333,0.5723,40.7933,32.27,0.0404
1.6,3.2,15,0.0000,0.7333,0.2667,0.0000,0.2667,0.2667,1.4717,40.0852,35.20,0.0401
1.6,6.4,15,0.0000,1.0000,1.0000,0.3333,0.6667,0.6667,0.6768,40.9138,35.27,0.0421
1.6,12.8,15,0.0000,1.0000,1.0000,0.2000,0.8000,0.8000,0.7732,40.3744,34.47,0.0430
1.6,25.6,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0605,40.0923,35.80,0.0518
1.6,51.2,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.8804,40.0328,35.67,0.0856
1.6,102.4,15,0.0000,1.0000,1.0000,0.1333,0.8667,0.8667,1.0128,40.5010,35.00,0.2214
3.2,0.1,15,0.0000,0.1333,0.0667,0.0000,0.0667,0.0667,3.7948,78.3794,44.87,0.0406
3.2,0.2,15,0.0000,0.1333,0.0667,0.0000,0.0667,0.0667,0.2285,79.1590,40.27,0.0404
3.2,0.4,15,0.0000,0.1333,0.0667,0.0667,0.0667,0.0667,3.1194,79.1686,39.00,0.0398
3.2,0.8,15,0.0000,0.2000,0.2000,0.0000,0.2000,0.2000,2.6797,78.7514,40.73,0.0401
3.2,1.6,15,0.0000,0.0667,0.0000,0.0000,0.0000,0.0000,,78.3142,39.87,0.0396
3.2,3.2,15,0.0000,0.2667,0.2000,0.0000,0.2000,0.2000,2.1147,78.6367,42.47,0.0409
3.2,6.4,15,0.0000,0.5333,0.2000,0.0000,0.2000,0.2000,1.0387,78.1263,41.80,0.0406
3.2,12.8,15,0.0000,1.0000,0.8000,0.0000,0.8000,0.8000,1.7892,78.5666,39.80,0.0404
3.2,25.6,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,2.4499,78.4363,42.27,0.0431
3.2,51.2,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.3730,78.8644,41.87,0.0521
3.2,102.4,15,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.9109,77.4717,42.40,0.0850
